Date,Y
01MAY1992,100.04
01JUN1992,100.32
01JUL1992,100.16
01AUG1992,100.24
01SEP1992,100.14
01OCT1992,100.00
01NOV1992,100.12
01DEC1992,99.89
01JAN1993,99.89
01FEB1993,100.01
01MAR1993,100.05
01APR1993,99.87
01MAY1993,99.93
01JUN1993,100.08
01JUL1993,100.02
01AUG1993,99.99
01SEP1993,99.93
01OCT1993,99.95
01NOV1993,100.00
01DEC1993,99.93
01JAN1994,100.18
01FEB1994,100.19
01MAR1994,100.14
01APR1994,99.89
01MAY1994,99.81
01JUN1994,99.86
01JUL1994,99.77
01AUG1994,99.90
01SEP1994,99.87
01OCT1994,99.85
01NOV1994,99.79
01DEC1994,99.89
01JAN1995,99.84
01FEB1995,100.03
01MAR1995,100.03
01APR1995,99.95
01MAY1995,99.85
01JUN1995,99.95
01JUL1995,100.12
01AUG1995,100.09
01SEP1995,100.01
01OCT1995,100.27
01NOV1995,100.29
01DEC1995,100.16
01JAN1996,99.99
01FEB1996,99.97
01MAR1996,99.93
01APR1996,100.10
01MAY1996,100.13
01JUN1996,99.98
01JUL1996,100.06
01AUG1996,100.11
01SEP1996,100.03
01OCT1996,100.03
01NOV1996,100.00
01DEC1996,100.01
01JAN1997,100.00
01FEB1997,100.05
01MAR1997,100.07
01APR1997,100.10
01MAY1997,100.15
01JUN1997,99.94
01JUL1997,100.02
01AUG1997,99.78
01SEP1997,100.06
01OCT1997,100.02
01NOV1997,99.98
01DEC1997,99.94
01JAN1998,99.79
01FEB1998,99.85
01MAR1998,99.88
01APR1998,99.94
01MAY1998,100.03
01JUN1998,100.13
01JUL1998,100.12
01AUG1998,99.97
01SEP1998,100.00
01OCT1998,99.96
01NOV1998,100.01
01DEC1998,100.07
01JAN1999,100.01
01FEB1999,100.12
01MAR1999,99.96
01APR1999,99.87
01MAY1999,99.93
01JUN1999,100.12
01JUL1999,100.09
01AUG1999,100.02
01SEP1999,100.02
01OCT1999,100.11
01NOV1999,99.89
01DEC1999,100.01
01JAN2000,100.09
01FEB2000,99.86
01MAR2000,99.88
01APR2000,100.01
01MAY2000,100.14
01JUN2000,100.00
01JUL2000,100.01
01AUG2000,99.90
01SEP2000,99.82
01OCT2000,99.94
01NOV2000,100.02
01DEC2000,100.01
01JAN2001,100.06
01FEB2001,100.05
01MAR2001,100.17
01APR2001,100.20
01MAY2001,99.96
01JUN2001,100.03
01JUL2001,99.95
01AUG2001,99.93
01SEP2001,100.06
01OCT2001,99.97
01NOV2001,100.02
01DEC2001,99.87
01JAN2002,100.14
01FEB2002,99.99
01MAR2002,99.90
01APR2002,99.99
01MAY2002,99.91
01JUN2002,99.87
01JUL2002,99.85
01AUG2002,99.86
01SEP2002,99.97
01OCT2002,99.95
01NOV2002,99.97
01DEC2002,99.90
01JAN2003,99.89
01FEB2003,99.93
01MAR2003,99.91
01APR2003,99.86
01MAY2003,100.01
01JUN2003,100.15
01JUL2003,100.06
01AUG2003,100.01
01SEP2003,100.09
01OCT2003,100.26
01NOV2003,100.11
01DEC2003,99.99
01JAN2004,99.86
01FEB2004,99.94
01MAR2004,99.99
01APR2004,99.93
01MAY2004,99.88
01JUN2004,99.90
01JUL2004,100.12
01AUG2004,100.15
01SEP2004,99.92
01OCT2004,99.92
01NOV2004,99.96
01DEC2004,99.89
01JAN2005,99.96
01FEB2005,100.01
01MAR2005,100.12
01APR2005,100.07
01MAY2005,99.92
01JUN2005,99.93
01JUL2005,99.91
01AUG2005,100.00
01SEP2005,100.00
01OCT2005,100.00
01NOV2005,100.04
01DEC2005,100.20
01JAN2006,100.06
01FEB2006,100.07
01MAR2006,100.12
01APR2006,100.27
01MAY2006,100.12
01JUN2006,100.26
01JUL2006,100.18
01AUG2006,100.24
01SEP2006,100.17
01OCT2006,100.07
01NOV2006,100.13
01DEC2006,100.00
01JAN2007,99.81
01FEB2007,99.90
01MAR2007,100.00
01APR2007,99.85
01MAY2007,100.04
01JUN2007,100.04
01JUL2007,100.17
01AUG2007,100.04
01SEP2007,100.01
01OCT2007,100.04
01NOV2007,100.04
01DEC2007,100.00
01JAN2008,100.11
01FEB2008,100.13
01MAR2008,100.12
01APR2008,100.11
01MAY2008,100.04
01JUN2008,100.16
01JUL2008,100.13
01AUG2008,100.07
01SEP2008,100.00
01OCT2008,100.18
01NOV2008,100.19
01DEC2008,100.15
