Date,Y
08MAY2005,200.73
09MAY2005,202.07
10MAY2005,198.22
11MAY2005,200.57
12MAY2005,199.43
13MAY2005,198.96
14MAY2005,201.36
15MAY2005,198.17
16MAY2005,200.13
17MAY2005,201.31
18MAY2005,200.11
19MAY2005,198.25
20MAY2005,200.69
21MAY2005,201.40
22MAY2005,199.16
23MAY2005,199.70
24MAY2005,199.59
25MAY2005,200.22
26MAY2005,200.48
27MAY2005,199.33
28MAY2005,202.05
29MAY2005,199.96
30MAY2005,199.27
31MAY2005,198.09
01JUN2005,199.72
02JUN2005,200.74
03JUN2005,199.22
04JUN2005,201.02
05JUN2005,199.55
06JUN2005,199.64
07JUN2005,199.45
08JUN2005,200.86
09JUN2005,199.40
10JUN2005,201.47
11JUN2005,199.75
12JUN2005,199.07
13JUN2005,199.24
14JUN2005,201.04
15JUN2005,201.43
16JUN2005,199.36
17JUN2005,199.23
18JUN2005,202.35
19JUN2005,200.10
20JUN2005,198.62
21JUN2005,198.87
22JUN2005,200.30
23JUN2005,199.92
24JUN2005,201.45
25JUN2005,200.16
26JUN2005,198.53
27JUN2005,200.85
28JUN2005,200.52
29JUN2005,199.19
30JUN2005,200.13
01JUL2005,199.82
02JUL2005,200.12
03JUL2005,199.96
04JUL2005,200.46
05JUL2005,200.13
06JUL2005,200.20
07JUL2005,200.41
08JUL2005,198.23
09JUL2005,200.85
10JUL2005,198.19
11JUL2005,202.41
12JUL2005,199.66
13JUL2005,199.34
14JUL2005,199.74
15JUL2005,198.83
16JUL2005,200.64
17JUL2005,200.29
18JUL2005,200.31
19JUL2005,200.56
20JUL2005,200.69
21JUL2005,199.65
22JUL2005,198.69
23JUL2005,200.45
24JUL2005,199.88
25JUL2005,200.44
26JUL2005,200.47
27JUL2005,199.35
28JUL2005,200.94
29JUL2005,198.71
30JUL2005,199.28
31JUL2005,200.80
01AUG2005,201.61
02AUG2005,199.44
03AUG2005,199.24
04AUG2005,200.12
05AUG2005,200.89
06AUG2005,198.10
07AUG2005,201.16
08AUG2005,200.80
09AUG2005,197.80
10AUG2005,200.28
11AUG2005,201.39
12AUG2005,200.85
13AUG2005,198.52
14AUG2005,200.08
15AUG2005,199.34
16AUG2005,199.35
17AUG2005,201.20
18AUG2005,200.61
19AUG2005,199.56
20AUG2005,200.37
21AUG2005,199.90
22AUG2005,200.94
23AUG2005,200.26
24AUG2005,197.83
25AUG2005,200.89
26AUG2005,199.65
27AUG2005,199.74
28AUG2005,201.20
29AUG2005,199.18
30AUG2005,200.33
31AUG2005,198.76
01SEP2005,202.41
02SEP2005,198.56
03SEP2005,199.05
04SEP2005,201.12
05SEP2005,199.28
06SEP2005,199.61
07SEP2005,199.93
08SEP2005,200.08
09SEP2005,200.78
10SEP2005,199.65
11SEP2005,200.06
12SEP2005,199.34
13SEP2005,199.89
14SEP2005,200.45
15SEP2005,199.71
16SEP2005,199.46
17SEP2005,201.32
18SEP2005,201.07
19SEP2005,198.81
20SEP2005,199.54
21SEP2005,200.95
22SEP2005,201.43
23SEP2005,198.51
24SEP2005,199.02
25SEP2005,199.33
26SEP2005,200.93
27SEP2005,200.46
28SEP2005,199.28
29SEP2005,199.60
30SEP2005,200.20
01OCT2005,201.84
02OCT2005,199.98
03OCT2005,197.83
04OCT2005,200.19
05OCT2005,200.61
06OCT2005,199.38
07OCT2005,200.57
08OCT2005,200.39
09OCT2005,200.74
10OCT2005,199.39
11OCT2005,198.70
12OCT2005,200.33
13OCT2005,200.04
14OCT2005,200.68
15OCT2005,199.90
16OCT2005,199.88
17OCT2005,200.27
18OCT2005,201.37
19OCT2005,198.63
20OCT2005,200.12
21OCT2005,200.65
22OCT2005,201.23
23OCT2005,198.61
24OCT2005,201.33
25OCT2005,199.51
26OCT2005,200.46
27OCT2005,199.66
28OCT2005,199.29
29OCT2005,200.81
30OCT2005,199.03
31OCT2005,198.47
01NOV2005,201.18
02NOV2005,200.89
03NOV2005,198.42
04NOV2005,201.58
05NOV2005,200.00
06NOV2005,200.81
07NOV2005,198.87
08NOV2005,199.71
09NOV2005,200.50
10NOV2005,200.04
11NOV2005,199.64
12NOV2005,201.04
13NOV2005,200.11
14NOV2005,199.78
15NOV2005,199.99
16NOV2005,199.50
17NOV2005,201.18
18NOV2005,199.79
19NOV2005,199.42
20NOV2005,199.65
21NOV2005,201.69
22NOV2005,200.01
23NOV2005,199.54
