Date,Y
01JAN1993,133.14
01FEB1993,133.01
01MAR1993,132.61
01APR1993,133.68
01MAY1993,133.92
01JUN1993,134.61
01JUL1993,133.26
01AUG1993,132.16
01SEP1993,131.14
01OCT1993,131.02
01NOV1993,131.59
01DEC1993,133.16
01JAN1994,134.22
01FEB1994,134.59
01MAR1994,134.04
01APR1994,130.97
01MAY1994,129.47
01JUN1994,131.00
01JUL1994,133.61
01AUG1994,134.02
01SEP1994,135.67
01OCT1994,136.53
01NOV1994,134.99
01DEC1994,135.09
01JAN1995,135.56
01FEB1995,135.58
01MAR1995,135.55
01APR1995,135.35
01MAY1995,137.96
01JUN1995,135.71
01JUL1995,133.91
01AUG1995,135.25
01SEP1995,137.21
01OCT1995,138.22
01NOV1995,140.45
01DEC1995,141.40
01JAN1996,138.99
01FEB1996,137.27
01MAR1996,137.63
01APR1996,135.47
01MAY1996,132.13
01JUN1996,131.50
01JUL1996,129.92
01AUG1996,127.19
01SEP1996,129.04
01OCT1996,132.89
01NOV1996,134.97
01DEC1996,137.57
01JAN1997,137.61
01FEB1997,136.26
01MAR1997,135.24
01APR1997,136.40
01MAY1997,137.95
01JUN1997,136.78
01JUL1997,135.72
01AUG1997,138.47
01SEP1997,140.16
01OCT1997,138.45
01NOV1997,138.22
01DEC1997,139.92
01JAN1998,140.54
01FEB1998,139.83
01MAR1998,138.21
01APR1998,138.76
01MAY1998,138.06
01JUN1998,138.97
01JUL1998,140.98
01AUG1998,140.68
01SEP1998,140.11
01OCT1998,137.60
01NOV1998,135.47
01DEC1998,135.43
01JAN1999,134.90
01FEB1999,134.38
01MAR1999,133.09
01APR1999,133.85
01MAY1999,135.61
01JUN1999,137.25
01JUL1999,138.73
01AUG1999,138.19
01SEP1999,137.88
01OCT1999,136.59
01NOV1999,137.71
01DEC1999,139.57
01JAN2000,139.29
01FEB2000,140.18
01MAR2000,142.75
01APR2000,142.72
01MAY2000,140.66
01JUN2000,140.30
01JUL2000,140.55
01AUG2000,140.85
01SEP2000,141.19
01OCT2000,139.09
01NOV2000,137.04
01DEC2000,136.91
01JAN2001,136.21
01FEB2001,136.70
01MAR2001,136.66
01APR2001,135.72
01MAY2001,134.12
01JUN2001,133.24
01JUL2001,133.84
01AUG2001,133.08
01SEP2001,132.17
01OCT2001,133.19
01NOV2001,133.53
01DEC2001,132.93
01JAN2002,132.24
01FEB2002,133.54
01MAR2002,134.75
01APR2002,137.06
01MAY2002,137.27
01JUN2002,136.59
01JUL2002,134.48
01AUG2002,133.19
01SEP2002,132.63
01OCT2002,132.37
01NOV2002,130.58
01DEC2002,131.39
01JAN2003,133.11
01FEB2003,133.30
01MAR2003,133.46
01APR2003,134.44
01MAY2003,134.81
01JUN2003,135.98
01JUL2003,137.04
01AUG2003,136.83
01SEP2003,137.57
01OCT2003,138.37
01NOV2003,137.67
01DEC2003,137.27
01JAN2004,135.93
01FEB2004,134.84
01MAR2004,137.86
01APR2004,140.24
01MAY2004,139.04
01JUN2004,139.99
01JUL2004,139.29
01AUG2004,137.35
01SEP2004,135.76
01OCT2004,135.45
01NOV2004,133.78
01DEC2004,133.62
01JAN2005,133.30
01FEB2005,133.59
01MAR2005,133.34
01APR2005,132.72
01MAY2005,131.90
01JUN2005,130.42
01JUL2005,130.31
01AUG2005,132.59
01SEP2005,133.86
01OCT2005,134.04
01NOV2005,134.03
01DEC2005,134.75
01JAN2006,137.69
01FEB2006,138.26
01MAR2006,136.79
01APR2006,137.27
01MAY2006,137.21
01JUN2006,137.55
01JUL2006,137.91
01AUG2006,138.29
01SEP2006,138.30
01OCT2006,137.30
01NOV2006,135.58
01DEC2006,136.27
01JAN2007,138.19
01FEB2007,141.73
01MAR2007,143.11
01APR2007,142.68
01MAY2007,140.58
01JUN2007,139.82
01JUL2007,139.07
01AUG2007,139.26
01SEP2007,139.87
01OCT2007,137.74
01NOV2007,136.23
01DEC2007,136.21
01JAN2008,136.57
01FEB2008,135.32
01MAR2008,135.23
01APR2008,136.56
01MAY2008,133.46
01JUN2008,131.98
01JUL2008,132.72
01AUG2008,132.82
01SEP2008,136.04
01OCT2008,138.01
01NOV2008,137.20
01DEC2008,136.34
