Date,Y
01MAY1992,99.79
01JUN1992,102.14
01JUL1992,99.94
01AUG1992,102.47
01SEP1992,100.80
01OCT1992,100.35
01NOV1992,101.72
01DEC1992,98.63
01JAN1993,100.08
01FEB1993,100.33
01MAR1993,100.02
01APR1993,98.62
01MAY1993,100.17
01JUN1993,100.57
01JUL1993,99.48
01AUG1993,100.12
01SEP1993,99.46
01OCT1993,99.82
01NOV1993,99.98
01DEC1993,99.18
01JAN1994,101.85
01FEB1994,100.64
01MAR1994,100.96
01APR1994,99.16
01MAY1994,99.42
01JUN1994,99.30
01JUL1994,97.94
01AUG1994,99.58
01SEP1994,98.29
01OCT1994,98.74
01NOV1994,98.13
01DEC1994,99.28
01JAN1995,98.09
01FEB1995,100.43
01MAR1995,99.31
01APR1995,99.35
01MAY1995,98.84
01JUN1995,99.98
01JUL1995,100.69
01AUG1995,99.93
01SEP1995,100.08
01OCT1995,102.66
01NOV1995,101.49
01DEC1995,101.10
01JAN1996,100.41
01FEB1996,100.57
01MAR1996,99.68
01APR1996,101.22
01MAY1996,100.57
01JUN1996,99.64
01JUL1996,101.19
01AUG1996,100.72
01SEP1996,100.04
01OCT1996,100.64
01NOV1996,100.00
01DEC1996,100.26
01JAN1997,99.99
01FEB1997,100.53
01MAR1997,100.42
01APR1997,100.80
01MAY1997,101.19
01JUN1997,99.25
01JUL1997,101.08
01AUG1997,97.88
01SEP1997,101.62
01OCT1997,99.16
01NOV1997,99.90
01DEC1997,99.58
01JAN1998,98.32
01FEB1998,99.34
01MAR1998,98.79
01APR1998,99.34
01MAY1998,99.93
01JUN1998,100.71
01JUL1998,100.43
01AUG1998,99.62
01SEP1998,100.53
01OCT1998,99.60
01NOV1998,100.31
01DEC1998,100.45
01JAN1999,99.81
01FEB1999,101.28
01MAR1999,99.22
01APR1999,99.49
01MAY1999,99.92
01JUN1999,100.98
01JUL1999,100.01
01AUG1999,100.21
01SEP1999,100.42
01OCT1999,101.04
01NOV1999,98.65
01DEC1999,101.06
01JAN2000,100.42
01FEB2000,98.39
01MAR2000,99.86
01APR2000,100.19
01MAY2000,100.70
01JUN2000,99.34
01JUL2000,100.52
01AUG2000,99.13
01SEP2000,98.83
01OCT2000,99.94
01NOV2000,99.77
01DEC2000,99.63
01JAN2001,100.51
01FEB2001,100.16
01MAR2001,101.46
01APR2001,101.27
01MAY2001,99.35
01JUN2001,101.28
01JUL2001,99.45
01AUG2001,99.74
01SEP2001,100.74
01OCT2001,99.27
01NOV2001,100.52
01DEC2001,98.64
01JAN2002,101.97
01FEB2002,98.75
01MAR2002,99.62
01APR2002,100.37
01MAY2002,98.85
01JUN2002,99.20
01JUL2002,98.89
01AUG2002,98.91
01SEP2002,99.66
01OCT2002,99.05
01NOV2002,99.72
01DEC2002,98.89
01JAN2003,99.22
01FEB2003,99.44
01MAR2003,98.96
01APR2003,98.75
01MAY2003,100.29
01JUN2003,100.70
01JUL2003,99.71
01AUG2003,100.28
01SEP2003,101.00
01OCT2003,101.96
01NOV2003,100.16
01DEC2003,100.40
01JAN2004,99.35
01FEB2004,100.15
01MAR2004,99.75
01APR2004,99.16
01MAY2004,99.20
01JUN2004,99.30
01JUL2004,101.03
01AUG2004,100.33
01SEP2004,98.99
01OCT2004,100.12
01NOV2004,99.74
01DEC2004,98.92
01JAN2005,99.95
01FEB2005,99.84
01MAR2005,100.81
01APR2005,100.04
01MAY2005,99.37
01JUN2005,99.98
01JUL2005,99.29
01AUG2005,100.12
01SEP2005,99.66
01OCT2005,99.96
01NOV2005,100.27
01DEC2005,101.63
01JAN2006,99.74
01FEB2006,101.13
01MAR2006,101.05
01APR2006,102.20
01MAY2006,100.38
01JUN2006,102.93
01JUL2006,101.09
01AUG2006,102.45
01SEP2006,101.41
01OCT2006,100.99
01NOV2006,101.78
01DEC2006,99.95
01JAN2007,98.98
01FEB2007,100.21
01MAR2007,99.87
01APR2007,98.30
01MAY2007,100.97
01JUN2007,99.62
01JUL2007,101.37
01AUG2007,99.75
01SEP2007,100.47
01OCT2007,100.53
01NOV2007,100.26
01DEC2007,99.99
01JAN2008,101.21
01FEB2008,100.70
01MAR2008,100.91
01APR2008,100.98
01MAY2008,100.37
01JUN2008,101.77
01JUL2008,100.72
01AUG2008,100.71
01SEP2008,100.36
01OCT2008,102.01
01NOV2008,101.03
01DEC2008,101.28
